"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of footpaths and pedestrian ways","WS/MP18080/2025-2026/181962","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG (2024-2029)","Elected MP","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG (2024-2029)","Elected MP","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"4","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG (2024-2029)","Elected MP","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"5","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233875","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG (2024-2029)","Elected MP","02-Jul-2026","DARSH BUILDCON","Payment In-Progress","997763"
"6","Madhya Pradesh","Installing tube-wells and borewells","WS/MP650/2025-2026/242025","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani (2024-2029)","Elected MP","23-Aug-2026","SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA","Payment In-Progress","101562"
"7","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214771","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"8","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/226642","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI (2024-2029)","Elected MP","20-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","5000"
"9","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"10","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"11","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"12","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"13","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"14","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"15","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV (2024-2029)","Elected MP","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"16","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/199515","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi (2024-2029)","Elected MP","13-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2923"
"17","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI (2024-2029)","Elected MP","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"18","Odisha","Construction of community centers and community halls","WS/MP18146/2026-2027/250774","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK (2024-2029)","Elected MP","20-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3610"
"19","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/177757","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK (2024-2029)","Elected MP","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"20","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN (2024-2029)","Elected MP","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"21","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/257860","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi (2024-2029)","Elected MP","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","4000"
"22","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/177755","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK (2024-2029)","Elected MP","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2500"
"23","Odisha","Street lights","WS/MP18350/2026-2027/274667","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","SUKANTA KUMAR PANIGRAHI (2024-2029)","Elected MP","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","1700"
"24","Madhya Pradesh","Construction of culverts and bridges","WS/MP641/2025-2026/174767","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel (2024-2029)","Elected MP","20-Aug-2026","JANAPAD PANCHAYAT BARWANI","Payment In-Progress","400000"
"25","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2024-2025/159916","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Shri B Y Raghavendra  (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","112286"
"26","Karnataka","Installing community drinking water plants","WS/MP18091/2025-2026/164324","MYSURU(DEPUTY COMMISSIONER MYSORE_IDA)","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR (2024-2029)","Elected MP","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","200000"
"27","Karnataka","Installing tube-wells and borewells","WS/MP18093/2026-2027/217130","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA (2024-2029)","Elected MP","27-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"28","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18082/2025-2026/187502","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL (2024-2029)","Elected MP","10-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"29","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173840","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY (2024-2029)","Elected MP","18-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","75000"
"30","Karnataka","Construction of community centers and community halls","WS/MP18080/2025-2026/182046","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"31","Madhya Pradesh","Installing tube-wells and borewells","WS/MP650/2025-2026/242024","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani (2024-2029)","Elected MP","23-Aug-2026","SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA","Payment In-Progress","97350"
"32","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/228510","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA (2024-2029)","Elected MP","02-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"33","Karnataka","Construction of buildings for training institutions","WS/MP18093/2026-2027/217128","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA (2024-2029)","Elected MP","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"34","Karnataka","Construction of buildings for community cultural activities","WS/MP18080/2025-2026/181801","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"35","Karnataka","Construction of footpaths and pedestrian ways","WS/MP18080/2025-2026/181959","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"36","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18080/2025-2026/181818","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"37","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18080/2025-2026/181963","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE (2024-2029)","Elected MP","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"38","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214761","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"39","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214767","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"40","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214768","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"41","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214772","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"42","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214774","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"43","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214776","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"44","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214778","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"45","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214780","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"46","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214637","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"47","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214638","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"48","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214639","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"49","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214643","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"50","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214742","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"51","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171449","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"52","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171410","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"53","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171571","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"54","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171577","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"55","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171579","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"56","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171580","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"57","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171581","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"58","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171582","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"59","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171388","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"60","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171392","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"61","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171393","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"62","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214751","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"63","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214753","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN (2024-2029)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"64","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171592","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"65","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171622","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"66","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171624","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"67","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171625","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"68","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171626","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"69","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171612","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"70","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171611","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"71","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171610","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"72","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171613","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"73","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171614","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"74","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171619","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"75","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171727","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"76","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171724","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"77","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171728","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"78","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187365","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"79","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187364","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"80","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187363","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"81","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187362","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"82","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186942","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"83","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186926","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"84","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186925","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"85","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186924","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"86","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171370","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"87","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"88","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"89","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182256","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"90","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187595","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"91","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187588","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"92","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184544","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"93","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186923","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"94","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186922","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"95","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186921","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"96","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182257","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"97","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182258","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"98","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182259","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"99","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214107","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"100","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214321","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
